event_number	date	day	month	year	location	latitude	longitude	country	industry	facility	site	unit	mode	ines	ines_guess	region	description	type	status	capacity	connection_year	comments	core_relevant	origin_description	origin	cause_description	cause	lower_limit	upper_limit
2	2016-05-13	2	2	2	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	SUSQUEHANNA	2	2		1		The Supervisor directed manually overriding High Pressure Coolant Injection (HPCI) immediately prior to a manual scram during a plant transient; the potential consequence of overriding HPCI is, in the potential event of a small break loss of coolant accident, that operations would not be able to maintain adequate core cooling; no radiation impact.	BWR	Operational	1330	1984		?		1		H	0.0	0.0
5	2016-03-28	5	5	5	Bento, United States	44.4769991	-73.2118512	United States	Energy	Plant	COLUMBIA	Single	2		0		A manual reactor scram was initiated in response to a loss of Reactor Closed Cooling (RCC) due to the opening of a service water valve at the inlet side of the fuel pool cooling heat exchanger during faulty performance of a partial surveillance. The loss of RCC resulted in a loss of cooling to several components, including the reactor recirculation pumps; all plant systems responded as designed.	BWR	Operational	1190	1984		?		1		H?	8.0	10.0
6	2016-03-11	6	6	6	Surat, India	21.1864607	72.8081281	India	Energy	Plant	KAKRAPAR	1,2	2		1	A	The reactor was running at full power when the first leakage of steam was detected visually on remotely operated cameras; later as pressure rose in the containment a plant emergency was immediately declared; all safety systems worked well, the reactor was shut down and radioactivity confined in the reactor  building.	PHWR	Operational	220	1992;1995		0		1		T	600.0	1000.0
9	2016-01-22	9	9	9	Lagoona Beach, United States	45.3663534	-96.4856139	United States	Energy	Plant	FERMI	2	0		1		Both divisions of the Residual Heat Removal System were declared inoperable for Low Pressure Coolant Injection (LPCI) mode due to a failure of the division 1 LPCI outboard injection valve to open after properly closing during an operability surveillance test.	BWR	Operational	1198	1986	probably minor contribution to CCDF	?		1		T	0.0	1.0
10	2016-01-23	10	10	10	Oswego, United States	41.6789932	-88.3550216	United States	Energy	Plant	FITZPATRICK	Single	2		1		The plant was ascending in power when screenwell water level started to lower caused by frazil ice blockage at the intake structure. At 89 percent power, at 22:23, operators began taking compensatory measures to reduce power and mitigate water level lowering; 17 minutes later a manual scram was initiated, complicated by a residual transfer that resulted in non-vital equipment trips and finally led to manual actuation of some safety-related systems.	BWR	Operational	849	1975	technically interesting precursor, CCF	1		3		T	12.0	16.0
11	2015-12-18	11	11	11	Sosnovyy-Bor, Russia	57.1886751	55.1215163	Russia	Energy	Plant	LENINGRAD	2	2		1	EE	A pipe carrying steam from the reactor to the turbine-generator cracked in the turbine hall, releasing radioactive steam and forcing an evacuation of the facility after the reactor was manually scrammed.	LWGR	Operational	1000	1975		0		2		T	1.0	10.0
12	2016-12-14	12	12	12	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	3	2		0		Automatic reactor trip due to a turbine-generator trip as a result of a fault on 345 kV feeder of a transmission tower, apparently  caused by bird streaming; all control rods inserted and required safety systems functioned properly.	PWR	Operational	1085	1976	unplanned scram	0		3		T	5.0	10.0
14	2015-10-31	14	14	14	Doel, Belgium	51.31762105	4.24520534190642	Belgium	Energy	Plant	DOEL	1	0			WE	An explosion/fire occurred at a transformer was extinguished by personnel. The reactor was shutdown and not in danger.	PWR	Operational	454	1974		0		2		T	0.0	10.0
16	2015-07-23	16	16	16	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING		2		0		Staff at Pickering Nuclear discovered the incorrect blocking and locking of a valve that is part of the guaranteed shutdown system.	PHWR				event not further specific – apparently minor safety relevance - omit	0	Guaranteed shutdown system	1	Improper maintenance	H	0.0	0.0
17	2015-07-23	17	17	17	Fulton, United States	40.4714305	-90.1845556	United States	Energy	Plant	CALLAWAY	1	1		1		The plant was on the way from hot standby to cold shutdown mode, operating with one main feedwater pump when the the pump speed unexpectedly lowered to zero. After manual trip of the pump the water level in the steam generators decreased and the Manual Auxiliary Feedwater System was actuated.	PWR	Operational	1275	1984		0		1		T	0.0	0.0
